,Unit,CycleTime,QueueTime,OperationalSetting1,OperationalSetting2,OperationalSetting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,MaxCycle,RUL,RulClass
0,1,1,2021-01-18 20:20:29.912000+00:00,-0.0005,0.0004,100.0,518.67,642.36,1583.23,1396.84,14.62,21.61,553.97,2387.96,9062.17,1.3,47.3,522.31,2388.01,8145.32,8.4246,0.03,391.0,2388.0,100.0,39.11,23.3537,259,258,Full
1,1,2,2021-01-18 20:20:30.131000+00:00,0.0008,-0.0003,100.0,518.67,642.5,1584.69,1396.89,14.62,21.61,554.55,2388.0,9061.78,1.3,47.23,522.42,2388.03,8152.85,8.4403,0.03,392.0,2388.0,100.0,38.99,23.4491,259,257,Full
2,1,3,2021-01-18 20:20:30.272000+00:00,-0.0014,-0.0002,100.0,518.67,642.18,1582.35,1405.61,14.62,21.61,554.43,2388.03,9070.23,1.3,47.22,522.03,2388.0,8150.17,8.3901,0.03,391.0,2388.0,100.0,38.85,23.3669,259,256,Full
3,1,4,2021-01-18 20:20:30.412000+00:00,-0.002,0.0001,100.0,518.67,642.92,1585.61,1392.27,14.62,21.61,555.21,2388.0,9064.57,1.3,47.24,522.49,2388.08,8146.56,8.3878,0.03,392.0,2388.0,100.0,38.96,23.2951,259,255,Full
4,1,5,2021-01-18 20:20:30.544000+00:00,0.0016,0.0,100.0,518.67,641.68,1588.63,1397.65,14.62,21.61,554.74,2388.04,9076.14,1.3,47.15,522.58,2388.03,8147.8,8.3869,0.03,392.0,2388.0,100.0,39.14,23.4583,259,254,Full
5,1,6,2021-01-18 20:20:30.693000+00:00,0.0011,-0.0005,100.0,518.67,642.24,1584.09,1400.01,14.62,21.61,554.75,2388.0,9074.98,1.3,47.07,522.42,2388.02,8144.92,8.4152,0.03,393.0,2388.0,100.0,38.92,23.4281,259,253,Full
6,1,7,2021-01-18 20:20:30.850000+00:00,-0.0038,0.0002,100.0,518.67,642.58,1585.61,1401.09,14.62,21.61,554.58,2388.04,9074.65,1.3,47.38,522.46,2388.02,8147.05,8.3842,0.03,391.0,2388.0,100.0,38.84,23.4087,259,252,Full
7,1,8,2021-01-18 20:20:30.975000+00:00,-0.0007,-0.0005,100.0,518.67,642.32,1588.32,1397.08,14.62,21.6,554.85,2388.06,9063.54,1.3,47.31,522.1,2387.97,8157.34,8.419,0.03,391.0,2388.0,100.0,39.05,23.459,259,251,Full
8,1,9,2021-01-18 20:20:31.178000+00:00,-0.0026,0.0,100.0,518.67,641.64,1587.81,1406.51,14.62,21.61,554.13,2388.04,9067.2,1.3,47.31,521.83,2388.01,8147.2,8.4091,0.03,392.0,2388.0,100.0,38.99,23.4693,259,250,Full
9,1,10,2021-01-18 20:20:31.381000+00:00,0.0019,-0.0002,100.0,518.67,642.42,1587.39,1402.25,14.62,21.61,554.78,2387.99,9070.04,1.3,47.35,521.96,2387.99,8152.86,8.3987,0.03,391.0,2388.0,100.0,38.94,23.4781,259,249,Full
